類別,建築物名稱,電腦編號,村里別,地址,緯經度,地下樓層數,可容納人數,轄管分局,備註
一般住宅,捷運36行館大樓,WYA01555,民權里,臺北市大同區寧夏路161號,"25.061499,121.514233",B01,402,大同分局,
一般住宅,淞暘開泰公寓大廈,WYA01597,民權里,臺北市大同區寧夏路126號,"25.060236,121.514394",B01,161,大同分局,
一般住宅,私人住宅大樓,WYA01599,民權里,臺北市大同區民權西路128號,"25.062707,121.516543",B01,128,大同分局,
一般住宅,天好韻社區A棟,WYA01626,民權里,臺北市大同區重慶北路二段175-1號,"25.059577,121.513763",B01B02,163,大同分局,
一般住宅,私人住宅大樓,WYA01647,民權里,臺北市大同區重慶北路二段225號,"25.061696,121.513724",B01,206,大同分局,
一般住宅,私人住宅大樓,WYA01648,民權里,臺北市大同區民權西路160巷18弄2號,"25.062144,121.51554",B01,2131,大同分局,
一般住宅,私人住宅大樓,WYA00809,永樂里,臺北市大同區長安西路251號,"25.052129,121.511121",B01,187,大同分局,
一般住宅,私人住宅大樓,WYA00810,永樂里,臺北市大同區長安西路261號,"25.052126,121.510926",B01,157,大同分局,
一般住宅,私人住宅大樓,WYA00813,永樂里,臺北市大同區甘谷街26號,"25.052772,121.510876",B01,542,大同分局,
一般住宅,私人住宅大樓,WYA00814,永樂里,臺北市大同區民生西路394號,"25.056819,121.509496",B01,140,大同分局,
一般住宅,公寓,WYA00815,永樂里,臺北市大同區甘谷街8號,"25.052744,121.511467",B01,58,大同分局,
一般住宅,私人住宅大樓,WYA00816,永樂里,臺北市大同區甘谷街12-14號,"25.052748,121.511358",B01,361,大同分局,
一般住宅,私人住宅大樓,WYA00817,永樂里,臺北市大同區塔城街37號,"25.052364,121.51051",B01,290,大同分局,
一般住宅,私人住宅大樓,WYA00819,永樂里,臺北市大同區延平北路一段92-1號,"25.052434,121.511758",B01,317,大同分局,
一般住宅,私人住宅大樓,WYA00820,永樂里,臺北市大同區延平北路一段102號,"25.052624,121.511748",B01,525,大同分局,
一般住宅,私人住宅大樓,WYA00821,永樂里,臺北市大同區甘谷街22-24號,"25.052757,121.511104",B01,622,大同分局,
一般住宅,私人住宅大樓,WYA00822,永樂里,臺北市大同區長安西路265號,"25.052123,121.510818",B01,323,大同分局,
一般住宅,私人住宅大樓,WYA00823,永樂里,臺北市大同區長安西路257號,"25.052128,121.511039",B01,283,大同分局,
一般住宅,公寓,WYA00824,永樂里,臺北市大同區長安西路247號,"25.052132,121.51124",B01,66,大同分局,
一般住宅,私人住宅大樓,WYA00825,永樂里,臺北市大同區南京西路362號,"25.05373,121.511017",B01,646,大同分局,
一般住宅,私人住宅大樓,WYA00826,永樂里,臺北市大同區延平北路一段152號,"25.053763,121.511658",B01,98,大同分局,
一般住宅,私人住宅大樓,WYA00827,永樂里,臺北市大同區甘谷街23-35號,"25.053003,121.51098",B01,534,大同分局,
一般住宅,私人住宅大樓,WYA00829,永樂里,臺北市大同區南京西路217號,"25.053349,121.516547",B01,124,大同分局,
一般住宅,公寓,WYA00830,永樂里,臺北市大同區南京西路201號,"25.053958,121.511402",B01,83,大同分局,
一般住宅,私人住宅大樓,WYA00831,永樂里,臺北市大同區南京西路199-1號,"25.053961,121.511444",B01,215,大同分局,
一般住宅,公寓,WYA00833,永樂里,臺北市大同區延平北路二段36巷2號,"25.05487,121.511564",B01,24,大同分局,
一般住宅,私人住宅大樓,WYA00834,永樂里,臺北市大同區延平北路二段90號,"25.056452,121.511521",B01,123,大同分局,
一般住宅,私人住宅大樓,WYA00835,永樂里,臺北市大同區民生西路364-370號,"25.056837,121.510452",B01,382,大同分局,
一般住宅,私人住宅大樓,WYA00837,永樂里,臺北市大同區延平北路二段96號,"25.056516,121.511517",B02,1221,大同分局,
一般住宅,私人住宅大樓,WYA00838,永樂里,臺北市大同區延平北路二段60巷7-13號,"25.055453,121.5113",B01,453,大同分局,
一般住宅,私人住宅大樓,WYA00841,永樂里,臺北市大同區民樂街77號,"25.055948,121.510943",B01,155,大同分局,
一般住宅,私人住宅大樓,WYA00844,永樂里,臺北市大同區南京西路352號,"25.05374,121.511267",B01,150,大同分局,
一般住宅,私人住宅大樓,WYA00845,永樂里,臺北市大同區南京西路348號,"25.053758,121.511444",B01,286,大同分局,
一般住宅,私人住宅大樓,WYA00846,永樂里,臺北市大同區迪化街一段63號,"25.055779,121.510101",B01,1056,大同分局,
一般住宅,私人住宅大樓,WYA00847,永樂里,臺北市大同區迪化街一段89-91號,"25.056445,121.509945",B01,133,大同分局,
一般住宅,私人住宅大樓,WYA00850,永樂里,臺北市大同區南京西路211號,"25.05394,121.511135",B01,295,大同分局,
一般住宅,私人住宅大樓,WYA00851,永樂里,臺北市大同區民生西路404號,"25.056812,121.509248",B01,140,大同分局,
一般住宅,公寓,WYA00852,永樂里,臺北市大同區西寧北路91號,"25.056564,121.509103",B01,85,大同分局,
一般住宅,私人住宅大樓,WYA00853,永樂里,臺北市大同區西寧北路83號,"25.056035,121.509072",B01,833,大同分局,
一般住宅,私人住宅大樓,WYA00854,永樂里,臺北市大同區迪化街一段46巷3號,"25.055043,121.50973",B01,464,大同分局,
一般住宅,私人住宅大樓,WYA00855,永樂里,臺北市大同區長安西路263號,"25.052125,121.510872",B01,140,大同分局,
一般住宅,私人住宅大樓,WYA00858,永樂里,臺北市大同區迪化街一段46巷17弄2號,"25.055126,121.509361",B01,217,大同分局,
一般住宅,私人住宅大樓,WYA00859,永樂里,臺北市大同區西寧北路69號,"25.055125,121.509005",B01,166,大同分局,
一般住宅,私人住宅大樓,WYA00860,永樂里,臺北市大同區迪化街一段48號,"25.055046,121.509777",B01,287,大同分局,
一般住宅,公寓,WYA00861,永樂里,臺北市大同區迪化街一段46巷9號,"25.055026,121.509677",B01,37,大同分局,
一般住宅,私人住宅大樓,WYA00862,永樂里,臺北市大同區西寧北路81號,"25.055916,121.509071",B01,281,大同分局,
一般住宅,私人住宅大樓,WYA00863,永樂里,臺北市大同區迪化街一段46巷1號,"25.05497,121.509933",B01,172,大同分局,
一般住宅,私人住宅大樓,WYA00864,永樂里,臺北市大同區迪化街一段104號,"25.056405,121.509843",B01,135,大同分局,
一般住宅,私人住宅大樓,WYA00868,永樂里,臺北市大同區貴德街75號,"25.05627,121.508444",B01,111,大同分局,
一般住宅,私人住宅大樓,WYA00869,永樂里,臺北市大同區貴德街65號,"25.055655,121.508432",B01,153,大同分局,
一般住宅,私人住宅大樓,WYA00872,永樂里,臺北市大同區貴德街89號,"25.05663,121.508442",B01,141,大同分局,
一般住宅,私人住宅大樓,WYA00873,永樂里,臺北市大同區西寧北路130號,"25.056664,121.508875",B01,268,大同分局,
一般住宅,公寓,WYA00874,永樂里,臺北市大同區西寧北路126號,"25.056563,121.508878",B01,51,大同分局,
