年別,類型,觀光遊憩區,細分,縣市,縣市別,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月,合計
2012,其他, -,淡水漁人碼頭,新北市,65000,257293.0,233396.0,279459.0,282907.0,285076.0,272139.0,342855.0,287964.0,280981.0,322850.0,256398.0,257840.0,3359158
2012,其他, -,猴硐煤礦博物園區,新北市,65000,41221.0,33067.0,26949.0,58551.0,55560.0,44567.0,46334.0,46853.0,38592.0,47590.0,35916.0,41592.0,516792
2012,其他, -,關渡自然公園,臺北市,63000,7977.0,8081.0,11572.0,14333.0,12113.0,9194.0,10624.0,9003.0,10749.0,22015.0,13556.0,10102.0,139319
2012,其他, -,美麗華摩天輪,臺北市,63000,43646.0,32898.0,25487.0,27536.0,25818.0,29873.0,38470.0,32369.0,22686.0,24074.0,21663.0,33621.0,358141
2012,其他, -,台北101景觀台,臺北市,63000,141836.0,140217.0,208346.0,220559.0,207790.0,178553.0,199420.0,188764.0,180937.0,194821.0,201929.0,196487.0,2259659
2012,其他, -,雲仙樂園,新北市,65000,15267.0,16507.0,14048.0,13611.0,13756.0,9262.0,17945.0,11767.0,10062.0,14523.0,11307.0,11205.0,159260
2012,其他, -,大板根森林溫泉渡假村,新北市,65000,12530.0,8965.0,9987.0,8544.0,10225.0,9960.0,12950.0,11858.0,10566.0,12600.0,11350.0,10200.0,129735
2012,其他, -,龍山寺,臺北市,63000,19917.0,324502.0,134466.0,119883.0,109885.0,108338.0,119938.0,117737.0,114107.0,208400.0,197988.0,205152.0,1780313
2012,其他, -,臺北市孔廟,臺北市,63000,71126.0,38652.0,41326.0,36827.0,34568.0,32059.0,33012.0,31855.0,32679.0,29597.0,31766.0,34252.0,447719
2012,其他, -,淡水紅毛城,新北市,65000,71529.0,55241.0,80381.0,72839.0,66513.0,66513.0,57973.0,59139.0,60167.0,83548.0,72343.0,68710.0,814896
2012,其他, -,滬尾砲臺,新北市,65000,12530.0,13841.0,18682.0,15525.0,16166.0,16166.0,16798.0,16426.0,15341.0,18613.0,15407.0,13005.0,188500
2012,其他, -,前清淡水關稅務司官邸,新北市,65000,24308.0,25391.0,32155.0,27065.0,23813.0,23813.0,23262.0,22277.0,22555.0,28086.0,24188.0,23142.0,300055
2012,其他, -,鶯歌老街,新北市,65000,68205.0,65982.0,58100.0,62859.0,67797.0,51294.0,55645.0,48717.0,48813.0,50532.0,46164.0,52630.0,676738
2012,其他, -,三峽老街,新北市,65000,272200.0,200510.0,186540.0,191430.0,183160.0,192700.0,113000.0,106000.0,115400.0,185660.0,183120.0,185460.0,2115180
2012,其他, -,八里左岸公園,新北市,65000,240000.0,199000.0,214000.0,235000.0,229000.0,215000.0,239000.0,235000.0,215000.0,221000.0,211000.0,170000.0,2623000
2012,其他, -,淡水金色水岸,新北市,65000,255000.0,218000.0,236000.0,233000.0,232000.0,236000.0,246000.0,244000.0,230000.0,228000.0,217000.0,206000.0,2781000
2013,國家公園,陽明山國家公園,陽明山遊客中心,臺北市,63000,18133.0,66380.0,28664.0,13106.0,14624.0,12856.0,14267.0,10917.0,8291.0,8156.0,7192.0,6792.0,209378
2013,國家公園,陽明山國家公園,陽明書屋,臺北市,63000,3010.0,3667.0,3804.0,3082.0,2826.0,2943.0,2817.0,2668.0,2550.0,3191.0,3748.0,2455.0,36761
2013,國家公園,陽明山國家公園,陽明公園,臺北市,63000,114000.0,768000.0,582000.0,76000.0,35800.0,27500.0,44700.0,42500.0,38000.0,35000.0,32500.0,31000.0,1827000
2013,國家公園,陽明山國家公園,大屯遊憩區,臺北市,63000,23629.0,41333.0,60660.0,30168.0,44126.0,122164.0,101522.0,100871.0,49849.0,47142.0,52135.0,22932.0,696531
2013,國家公園,陽明山國家公園,龍鳳谷遊憩區,臺北市,63000,21683.0,38987.0,45769.0,66359.0,16353.0,20637.0,15077.0,19399.0,17461.0,18297.0,23211.0,17523.0,320756
2013,國家公園,陽明山國家公園,小油坑遊憩區,臺北市,63000,19162.0,19997.0,38851.0,28281.0,24669.0,39041.0,26927.0,25852.0,22187.0,29937.0,31949.0,21653.0,328506
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭港服務區,新北市,65000,11750.0,10800.0,9450.0,11200.0,11900.0,11650.0,12000.0,13910.0,13950.0,9805.0,12230.0,9965.0,138610
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞灣公園,新北市,65000,1624.0,1902.0,1975.0,1956.0,2523.0,8128.0,10166.0,9027.0,5028.0,2568.0,2157.0,2002.0,49056
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍洞南口海洋公園,新北市,65000,1018.0,426.0,1226.0,604.0,1246.0,7110.0,12020.0,8855.0,2560.0,1536.0,761.0,363.0,37725
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,福隆遊客服務中心,新北市,65000,27729.0,87166.0,71702.0,79192.0,354736.0,170857.0,138988.0,66391.0,73837.0,55790.0,49422.0,52999.0,1228809
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,龍門露營區,新北市,65000,1110.0,1433.0,3357.0,5098.0,5503.0,5783.0,6203.0,5511.0,4846.0,9768.0,5639.0,3106.0,57357
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,鹽寮海濱公園,新北市,65000,143.0,223.0,229.0,143.0,356.0,1162.0,754.0,702.0,246.0,346.0,142.0,102.0,4548
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,鼻頭角步道,新北市,65000,2760.0,3550.0,2800.0,11200.0,6260.0,6725.0,7730.0,5875.0,5890.0,7545.0,3840.0,4231.0,68406
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,舊草嶺隧道,新北市,65000,8026.0,9189.0,8607.0,9262.0,19256.0,29219.0,20906.0,21181.0,20342.0,20039.0,16581.0,9651.0,192259
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,草嶺古道系統(含遠望坑親水公園),新北市,65000,12127.0,17008.0,12565.0,20157.0,24395.0,26685.0,28378.0,20577.0,22770.0,31236.0,114591.0,23492.0,353981
2013,國家級風景特定區,東北角暨宜蘭海岸國家風景區,福隆蔚藍海岸,新北市,65000,1299.0,2636.0,3432.0,3904.0,163208.0,324231.0,557220.0,19266.0,6126.0,3123.0,1404.0,549.0,1086398
2013,國家級風景特定區,北海岸及觀音山國家風景區,野柳地質公園,新北市,65000,176770.0,210705.0,264688.0,291090.0,222288.0,202610.0,208315.0,237960.0,223908.0,225973.0,267157.0,248634.0,2780098
2013,國家級風景特定區,北海岸及觀音山國家風景區,白沙灣,新北市,65000,14782.0,26695.0,34682.0,30566.0,59157.0,134739.0,112727.0,81096.0,94663.0,38190.0,26148.0,14234.0,667679
2013,國家級風景特定區,北海岸及觀音山國家風景區,翡翠灣濱海遊憩區,新北市,65000,9787.0,7952.0,10522.0,11004.0,9161.0,16647.0,17830.0,20244.0,12204.0,9106.0,8325.0,8161.0,140943
2013,國家級風景特定區,北海岸及觀音山國家風景區,觀音山,新北市,65000,45139.0,66414.0,59722.0,42693.0,72517.0,109655.0,88280.0,77827.0,120321.0,64939.0,85549.0,44303.0,877359
2013,國家級風景特定區,北海岸及觀音山國家風景區,野柳海洋世界,新北市,65000,2353.0,9025.0,6497.0,7718.0,11775.0,12746.0,8222.0,10731.0,7183.0,11083.0,15194.0,9302.0,111829
2013,國家級風景特定區,北海岸及觀音山國家風景區,金山遊憩區,新北市,65000,9322.0,13267.0,15558.0,14748.0,14345.0,13716.0,15709.0,13973.0,16225.0,22549.0,18546.0,12410.0,180368
2013,國家級風景特定區,北海岸及觀音山國家風景區,三芝遊憩區,新北市,65000,8324.0,38144.0,25040.0,10980.0,10222.0,12174.0,10776.0,11258.0,11607.0,17080.0,12383.0,6351.0,174339
2013,直轄市及縣(市)級風景特定區, -,烏來風景特定區,新北市,65000,102498.0,186584.0,74264.0,66564.0,60092.0,62885.0,83050.0,81624.0,76017.0,72050.0,83896.0,82432.0,1031956
2013,直轄市及縣(市)級風景特定區, -,碧潭風景特定區,新北市,65000,52530.0,112190.0,63960.0,122800.0,105580.0,152480.0,130450.0,89030.0,85180.0,138000.0,123600.0,130537.0,1306337
2013,直轄市及縣(市)級風景特定區, -,瑞芳風景特定區,新北市,65000,213821.0,131165.0,216932.0,220285.0,224589.0,173492.0,207746.0,205056.0,234581.0,245000.0,284767.0,197381.0,2554815
2013,森林遊樂區, -,滿月圓國家森林遊樂區,新北市,65000,0.0,13947.0,11732.0,8279.0,10887.0,22751.0,18586.0,16816.0,12672.0,15064.0,16788.0,10143.0,157665
2013,森林遊樂區, -,內洞國家森林遊樂區,新北市,65000,12118.0,22484.0,17303.0,10377.0,13452.0,23538.0,21751.0,23662.0,15185.0,17210.0,18866.0,11377.0,207323
2013,博物館, -,國立故宮博物院,臺北市,63000,304278.0,324931.0,388409.0,396625.0,333495.0,338163.0,397836.0,472754.0,376983.0,359249.0,410667.0,397288.0,4500678
2013,博物館, -,市立美術館,臺北市,63000,26514.0,25399.0,24616.0,27199.0,22572.0,17795.0,21476.0,44209.0,29244.0,37955.0,38532.0,45416.0,360927
2013,博物館, -,國立歷史博物館,臺北市,63000,41224.0,64728.0,53382.0,72681.0,63243.0,34300.0,40768.0,45077.0,49175.0,24644.0,36753.0,61336.0,587311
2013,博物館, -,國立臺灣科學教育館,臺北市,63000,205389.0,293358.0,100381.0,159628.0,130327.0,170787.0,284880.0,332002.0,107545.0,112393.0,182259.0,123501.0,2202450
2013,博物館, -,市立天文科學教育館,臺北市,63000,37131.0,34535.0,46629.0,63816.0,50076.0,43603.0,78299.0,88123.0,59834.0,48239.0,54538.0,53374.0,658197
2013,博物館, -,國父紀念館,臺北市,63000,584810.0,540307.0,581583.0,745653.0,679983.0,575310.0,688101.0,694394.0,581589.0,540200.0,635299.0,615442.0,7462671
2013,博物館, -,國立中正紀念堂,臺北市,63000,457299.0,505442.0,558320.0,547418.0,543462.0,519881.0,506791.0,561403.0,464775.0,559038.0,532798.0,551110.0,6307737
2013,博物館, -,臺北探索館,臺北市,63000,12365.0,10433.0,25752.0,14843.0,16647.0,22493.0,26124.0,22757.0,14860.0,16595.0,40107.0,38171.0,261147
2013,博物館, -,坪林茶業博物館,新北市,65000,11692.0,23006.0,14525.0,18119.0,18298.0,23070.0,19724.0,22016.0,18562.0,21785.0,21557.0,20666.0,233020
