category,number,village,address,location,floor,capacity,unit,note
達麗首席公寓,D302000369,頭前里,新北市新莊區頭前里福美街62巷11號,"25.05512,121.4621",B04,845,新莊分局,
新春城公寓,D302000370,頭前里,新北市新莊區頭前里思源路296巷18號,"25.05011,121.4608",B03,419,新莊分局,
公寓,D302000371,化成里,新北市新莊區化成里化成路113巷34號,"25.04721,121.4648",B03,131,新莊分局,
美麗春城大廈,D302000372,頭前里,新北市新莊區頭前里福德二街35號,"25.05714,121.4625",B01,991,新莊分局,
公園首席社區,D302000373,化成里,新北市新莊區化成里思源路192巷70號,"25.04821,121.4617",B03,1896,新莊分局,
合新大美公寓,D302000374,福基里,新北市新莊區福基里福德二街60號,"25.0573,121.4618",B04,1451,新莊分局,
五星尊爵大廈,D302000375,頭前里,新北市新莊區頭前里福德一街41號,"25.05602,121.4624",B03,642,新莊分局,
鄉林淳風公寓,D302000376,福基里,新北市新莊區福基里福美街128巷2號,"25.058,121.4608",B03,1513,新莊分局,
朕權公寓,D302000377,化成里,新北市新莊區化成里幸福東路131號,"25.04935,121.4611",B03,721,新莊分局,
一方林映公寓,D302000378,頭前里,新北市新莊區頭前里思源路370巷58號,"25.05155,121.4611",B03,630,新莊分局,
幸福皇居公寓(皇居特區),D302000379,仁義里,新北市新莊區仁義里福樂街88巷14號,"25.04712,121.4583",B03,640,新莊分局,
美學CEO公寓,D302000380,頭前里,新北市新莊區頭前里福德一街66號,"25.0562,121.462",B02,1039,新莊分局,
全坤峰華公園館,D302000381,頭前里,新北市新莊區頭前里頭前路125號,"25.05225,121.4619",B03,1032,新莊分局,
全坤峰華國際館,D302000382,福基里,新北市新莊區福基里福美街172巷62號,"25.05954,121.4621",B03,1176,新莊分局,
一方城心公寓,D302000383,頭前里,新北市新莊區頭前里頭興街110號,"25.05365,121.4624",B03,901,新莊分局,
綠藝首席公寓,D302000384,福基里,新北市新莊區福基里福德三街11號,"25.0587,121.4623",B03,1361,新莊分局,
昔詩公寓,D302000385,頭前里,新北市新莊區頭前里思源路388號,"25.0521,121.46",B04,487,新莊分局,
四季館公寓,D302000386,福基里,新北市新莊區福基里福德二街50號,"25.05732,121.4622",B03,270,新莊分局,
璞築建設私人住宅大樓,D302000387,化成里,新北市新莊區化成里思源路192巷36號,"25.04823,121.4606",B03,154,新莊分局,
沃朵夫公寓,D302000388,福基里,新北市新莊區福基里福美街128巷68號,"25.05801,121.4625",B02,629,新莊分局,
翫賞苑公寓,D302000389,福基里,新北市新莊區福基里福德三街1號,"25.05871,121.4626",B03,960,新莊分局,
公寓,D302000390,頭前里,新北市新莊區頭前里化成路630巷20號,"25.05515,121.4672",B03,409,新莊分局,
美樹公寓,D302000391,頭前里,新北市新莊區頭前里福美街62巷7號,"25.05509,121.4616",B01,1111,新莊分局,
竹城新東京公寓,D302000392,頭前里,新北市新莊區頭前里頭前路116號,"25.05268,121.4632",B03,2672,新莊分局,
誠公寓,D302000393,頭前里,新北市新莊區頭前里福德一街33號,"25.05605,121.4627",B03,954,新莊分局,
幸福公園公寓,D302000394,頭前里,新北市新莊區頭前里幸福東路106號,"25.04957,121.4632",B04,1002,新莊分局,
亞昕平方公寓,D302000395,頭前里,新北市新莊區頭前里中原東路198號,"25.05454,121.4609",B04,350,新莊分局,
一品莊公寓,D302000396,頭前里,新北市新莊區頭前里中原東路89巷16號,"25.05416,121.4624",B04,1125,新莊分局,
興天地公寓,D302000397,頭前里,新北市新莊區頭前里福美街52號,"25.05418,121.4611",B04,1703,新莊分局,
國鉅天子公寓,D302000398,化成里,新北市新莊區化成里幸福東路115號,"25.04924,121.4616",B04,366,新莊分局,
家一方公寓,D302000399,頭前里,新北市新莊區頭前里福美街62巷55號,"25.0552,121.4631",B03,1193,新莊分局,
